id,biolovision_english,biolovision_latin,ebird_species_code
1,Red-throated Diver,Gavia stellata,retloo
2,Black-throated Diver,Gavia arctica,arcloo
3,Great Northern Diver,Gavia immer,comloo
4,Yellow-billed Diver,Gavia adamsii,yebloo
5,Little Grebe,Tachybaptus ruficollis,litgre1
6,Horned Grebe,Podiceps auritus,horgre
7,Black-necked Grebe,Podiceps nigricollis,eargre
8,Great Crested Grebe,Podiceps cristatus,grcgre1
9,Red-necked Grebe,Podiceps grisegena,rengre
10,Northern Fulmar,Fulmarus glacialis,norful
11,Cory's Shearwater,Calonectris borealis,corshe1
12,Great Shearwater,Puffinus gravis,greshe
13,Sooty Shearwater,Puffinus griseus,sooshe
14,Manx Shearwater,Puffinus puffinus,manshe
15,Yelkouan Shearwater,Puffinus yelkouan,levshe1
16,Little Shearwater,Puffinus assimilis,litshe8
17,European Storm Petrel,Hydrobates pelagicus,bripet
18,Band-rumped Storm Petrel,Oceanodroma castro,barpet
19,Leach's Storm Petrel,Oceanodroma leucorhoa,lcspet
20,Great White Pelican,Pelecanus onocrotalus,grwpel1
21,Pink-backed Pelican,Pelecanus rufescens,pibpel1
22,Dalmatian Pelican,Pelecanus crispus,dalpel1
23,Northern Gannet,Morus bassanus,norgan
24,Great Cormorant,Phalacrocorax carbo,grecor
25,Great Cormorant (P.c.carbo),Phalacrocorax carbo carbo,grecor1
26,Great Cormorant (P.c.sinensis),Phalacrocorax carbo sinensis,
27,European Shag,Phalacrocorax aristotelis,eursha1
28,Pygmy Cormorant,Phalacrocorax pygmeus,pygcor2
29,Grey Heron,Ardea cinerea,graher1
30,Purple Heron,Ardea purpurea,purher1
31,Squacco Heron,Ardeola ralloides,squher1
32,Cattle Egret,Bubulcus ibis,categr1
33,Great White Egret,Egretta alba,greegr
34,Little Egret,Egretta garzetta,litegr
35,Western Reef Heron,Egretta gularis,werher
36,Black-crowned Night Heron,Nycticorax nycticorax,bcnher
37,Little Bittern,Ixobrychus minutus,litbit1
38,Eurasian Bittern,Botaurus stellaris,grebit1
39,White Stork,Ciconia ciconia,whisto1
40,Yellow-billed Stork,Mycteria ibis,yebsto1
41,Black Stork,Ciconia nigra,blasto1
42,Eurasian Spoonbill,Platalea leucorodia,eurspo1
43,African Spoonbill,Platalea alba,afrspo1
44,Glossy Ibis,Plegadis falcinellus,gloibi
45,Greater Flamingo,Phoenicopterus roseus,grefla3
46,Chilean Flamingo,Phoenicopterus chilensis,chifla1
47,West Indian Whistling Duck,Dendrocygna arborea,wiwduc1
48,Black-bellied Whistling Duck,Dendrocygna autumnalis,bbwduc
49,Lesser Whistling Duck,Dendrocygna javanica,lewduc1
50,White-faced Whistling Duck,Dendrocygna viduata,wfwduc1
51,Fulvous Whistling Duck,Dendrocygna bicolor,fuwduc
52,Whooper Swan,Cygnus cygnus,whoswa
53,Bewick's Swan,Cygnus columbianus bewickii,bewswa1
54,Mute Swan,Cygnus olor,mutswa
55,Black Swan,Cygnus atratus,blkswa
56,Black-necked Swan,Cygnus melanocoryphus,blnswa2
57,Swan Goose,Anser cygnoides,swagoo1
58,Snow Goose,Anser caerulescens,snogoo
59,Emperor Goose,Anser canagicus,empgoo
60,Greylag Goose,Anser anser,gragoo
61,Greater White-fronted Goose,Anser albifrons,gwfgoo
62,Lesser White-fronted Goose,Anser erythropus,lwfgoo
63,Bean Goose,Anser fabalis / serrirostris,y00468
64,Taiga Bean Goose,Anser fabalis,taibeg1
65,Pink-footed Goose,Anser brachyrhynchus,pifgoo
66,Tundra Bean Goose,Anser serrirostris,tunbeg1
67,Domestic Goose,Anser cf domestica,gragoo1
68,unidentified Goose,Anser sp.,anser1
69,Bar-headed Goose,Anser indicus,bahgoo
70,Brant Goose,Branta bernicla,brant
71,Barnacle Goose,Branta leucopsis,bargoo
72,Canada Goose,Branta canadensis,cangoo
73,Red-breasted Goose,Branta ruficollis,rebgoo1
74,Ashy-headed Goose,Chloephaga poliocephala,ashgoo1
75,Maned Duck,Chenonetta jubata,manduc1
76,Upland Goose,Chloephaga picta,uplgoo1
77,Ruddy Shelduck,Tadorna ferruginea,rudshe
78,South African Shelduck,Tadorna cana,soashe1
79,Australian Shelduck,Tadorna tadornoides,ausshe1
80,Paradise Shelduck,Tadorna variegata,parshe1
81,Egyptian Goose,Alopochen aegyptiaca,egygoo
82,Common Shelduck,Tadorna tadorna,comshe
83,Domestic Muscovy Duck,Cairina moschata f. domestica,musduc3
84,Ringed Teal,Callonetta leucophrys,rintea1
85,Brazilian Teal,Amazonetta brasiliensis,bratea1
86,Mallard,Anas platyrhynchos,mallar3
87,Indian Spot-billed Duck,Anas poecilorhyncha,isbduc1
88,Pacific Black Duck,Anas superciliosa,pabduc1
89,Yellow-billed Duck,Anas undulata,yebduc1
90,Blue-winged Teal,Anas discors,buwtea
91,Cinnamon Teal,Anas cyanoptera,cintea
92,Garganey,Anas querquedula,gargan
93,Cape Teal,Anas capensis,captea1
94,Eurasian Teal,Anas crecca,gnwtea
95,Hottentot Teal,Anas hottentota,hottea1
96,Green-winged Teal,Anas carolinensis,gnwtea
97,Baikal Teal,Anas formosa,baitea
98,Yellow-billed Duck,Anas flavirostris,yebtea1
99,Falcated Duck,Anas falcata,falduc
100,Silver Teal,Anas versicolor,siltea1
101,Northern Pintail,Anas acuta,norpin
102,White-cheeked Pintail,Anas bahamensis,whcpin
103,Chestnut Teal,Anas castanea,chetea1
104,Yellow-billed Pintail,Anas georgica,yebpin1
105,Marbled Duck,Marmaronetta angustirostris,martea1
106,Eurasian Wigeon,Anas penelope,eurwig
107,American Wigeon,Anas americana,amewig
108,Chiloe Wigeon,Anas sibilatrix,chiwig1
109,Mandarin Duck,Aix galericulata,manduc
110,Wood Duck,Aix sponsa,wooduc
111,Gadwall,Anas strepera,gadwal
112,Northern Shoveler,Anas clypeata,norsho
113,Australian Shoveler,Anas rhynchotis,aussho1
114,Domestic Duck,Anas platyrhynchos f. domestica,mallar2
115,Red-crested Pochard,Netta rufina,recpoc
116,Rosy-billed Pochard,Netta peposaca,robpoc1
117,Southern Pochard,Netta erythrophthalma,soupoc1
118,Common Pochard,Aythya ferina,compoc
119,Tufted Duck,Aythya fuligula,tufduc
120,Ring-necked Duck,Aythya collaris,rinduc
121,Ferruginous Duck,Aythya nyroca,ferduc
122,Baer's Pochard,Aythya baeri,baepoc1
123,Greater Scaup,Aythya marila,gresca
124,Lesser Scaup,Aythya affinis,lessca
